"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
"lambda[193]",0.0041082511144677,4.77993032643853e-05,0.00259110360854424,0.000957058519949468,0.00227231115947576,0.00348219364120041,0.00526606165340851,0.0106613631371002,2938.5049441102,1.00068071921297,"lambda[193]"
"lambda[194]",0.00280294072345251,6.28973920273104e-05,0.00204823926847764,0.000473837770985909,0.00139019760823062,0.00228083160691019,0.00359384222390635,0.00824051908143801,1060.46441446405,1.00324604112185,"lambda[194]"
"lambda[195]",0.00186614484911165,4.17078532729295e-05,0.00140131258185103,0.000280160603064021,0.000901898631376972,0.00149584218808355,0.00241617827221325,0.005573401189924,1128.84514297907,1.0015789263846,"lambda[195]"
"lambda[196]",0.00507887455672997,6.22328804457379e-05,0.00318539301978079,0.00119530384123763,0.00286716220688448,0.0043292466231822,0.00644138480844877,0.0130148956773025,2619.90921605438,0.999773920799775,"lambda[196]"
"lambda[197]",0.00642384156683047,9.66489326969643e-05,0.00415403074326319,0.00149798361059975,0.00353212309133027,0.00544807256163644,0.00816008905595469,0.0173576815966935,1847.33342307528,1.00196241780816,"lambda[197]"
"lambda[198]",0.00737340169514344,8.93759615848586e-05,0.00473818066492793,0.00174963163096049,0.00422584847153133,0.00622409818376736,0.00932466317653816,0.0196748887115797,2810.48827391993,1.00019350958878,"lambda[198]"
"lambda[199]",0.00358100420252661,7.39541016164469e-05,0.00307564364079416,0.000437201278153274,0.00153416188973358,0.00271905643954749,0.00462481322112846,0.0119479482385335,1729.60725267863,1.0015479684372,"lambda[199]"
"lambda[200]",0.00462196463660706,6.69489206700912e-05,0.00313049597226461,0.000971254475819087,0.00252840204117171,0.00386152796660502,0.00581710246672829,0.0126920874989275,2186.44792943946,1.00189066938687,"lambda[200]"
"lambda[201]",0.0107381293492206,0.000162425530875666,0.00891943362202901,0.00183831666264069,0.00510330186318224,0.00842138363994059,0.0136060223831869,0.0333487182938731,3015.54605685193,1.0007831697179,"lambda[201]"
"lambda[202]",0.0104389630920932,0.000141228642540985,0.00747460891106485,0.00251408530519416,0.00560885457218002,0.00838416245455791,0.0128641111002551,0.0302577464372065,2801.11783677064,1.00048056708814,"lambda[202]"
"lambda[203]",0.00445011455241979,9.01994386600487e-05,0.00358107362599015,0.000690096500353675,0.00204432302600307,0.00347141266068409,0.00574600503525642,0.0137217551756164,1576.22724716987,1.00159710392569,"lambda[203]"
"lambda[204]",0.0154381034308515,0.000210315609315242,0.0104199907551685,0.00353069800020435,0.00849357655444695,0.0129241876614073,0.019289946495725,0.0417795598616969,2454.6617438484,1.00043415269119,"lambda[204]"
"lambda[205]",0.00453581018776767,5.58977042040325e-05,0.00297880111889622,0.00101998346439315,0.00252271750461005,0.00385411185457285,0.00574195264707022,0.0117510598782401,2839.84786105048,0.999673948271351,"lambda[205]"
